gene,f_statistic,p_value,mean_ALL,mean_CLL,mean_AML,mean_CML
AA769410,2874.230474835392,0.0,0.2125239791263134,0.614538155213187,0.23206310174228623,0.22357217690279327
AA838075,2774.8846725121084,0.0,0.1259287952172032,0.6158799987742166,0.1186601804670831,0.10009040588209792
NM_005375,2396.434946216011,0.0,0.6948668677872474,0.24289249512465194,0.6313519199534613,0.6066021614296492
NM_014383,2305.349477453184,0.0,0.039123504995069364,0.43091819494302513,0.04163765361539817,0.028889715528050666
NM_001071,1845.146364148869,0.0,0.71370131071281,0.23800637588722298,0.6995126071607093,0.7077384604964145
NM_014736,1587.6282860679557,0.0,0.6666666098417492,0.30227865794288455,0.6916280634672262,0.7021949471429335
AK025578,1579.511657718237,0.0,0.6440894424641898,0.13380499339548532,0.4655241088992427,0.45460716998854356
NM_001716,1485.4506973893062,0.0,0.13917460753539695,0.48583430083240636,0.15497495302140488,0.15722655037114786
NM_002002,1414.444352195597,0.0,0.07436650688519673,0.3671781478276798,0.09340495809437958,0.0793845434889717
BG528420,1373.3533800649393,0.0,0.7378507492329003,0.2805317913806891,0.6459199816336427,0.44811790072640706
AA156795,1367.329392058595,0.0,0.09468746757233054,0.43985473550070187,0.11989113501479656,0.12005476229066069
M11722,1252.2248509512278,0.0,0.6833971991724924,0.07029333207186488,0.1959012014472473,0.07593899189906061
AA585152,1214.0992263787641,0.0,0.7950094827203029,0.19600734031338737,0.34671593347296176,0.2236071367596472
AK093001,1185.9903630189215,1e-323,0.11489087458723442,0.4342597618007459,0.12952550625562645,0.10550844738649771
BF968097,1183.8030944104546,2e-323,0.16905111221889238,0.5084558859278884,0.10674839595637145,0.08546949277610284
AA768884,1169.557119672037,1.91e-321,0.2770368441332713,0.6107789123360114,0.2716343134119817,0.2611206189491028
AL136179,1165.2166063394877,7.84e-321,0.7421421329362676,0.32556141386366594,0.6669088904727758,0.49494056091752164
AI989477,1159.1361686722028,5.6956e-320,0.5488516820302028,0.06959967274132348,0.4434228292032207,0.2146945749084617
AA489100,1146.5360930147522,3.56004e-318,0.18423726809010293,0.5413405888317003,0.11271924801272294,0.08687071545526033
AW575313,1115.7600159059048,1.0083705548e-313,0.15460159242529115,0.5350472084659187,0.11550391268289506,0.0872900869783967
NM_017784,1095.5141000991011,9.6533277519857e-311,0.23947684227386404,0.5697908333585232,0.15295331424341366,0.13398260302668405
AL560266,1042.0576757780232,1.161204506305672e-302,0.060853651207562004,0.4002895588998365,0.046350334507797325,0.0359691137253025
NM_021778,1025.3231554373479,4.5660910239150634e-300,0.1351490187738518,0.6095931433958595,0.38031446345599823,0.22048685318508812
NM_014499,1018.0495349858885,6.271169997993848e-299,0.22960391695987128,0.5637643660422619,0.20212835512134877,0.21680304901890976
AI935334,982.5372889091171,2.7706410706900225e-293,0.172529792814695,0.5949193210289951,0.285938655580702,0.21428408595018605
